# touch_trace  screen=800x480  portrait=0
# raw_range X[-35..4167] Y[-233..4335]
# calib_enabled=1 raw_range X[-35..4167] Y[-233..4335]
# bezel(UI) T=15 B=15 L=0 R=0
# columns: raw_x raw_y cal_x cal_y est_x est_y
1 3525 6 394 6 394
1 3552 6 396 6 397
1 3565 6 398 6 399
1 3592 6 401 6 401
1 3605 6 402 6 403
1 3612 6 403 6 404
1 3615 6 403 6 404
1 3631 6 405 6 406
1 3663 6 408 6 409
1 3679 6 410 6 411
1 3687 6 411 6 411
1 3691 6 411 6 412
1 3693 6 411 6 412
1 3694 6 411 6 412
1 3730 6 415 6 416
1 3748 6 417 6 418
1 3757 6 418 6 419
1 3782 6 421 6 421
1 3844 6 427 6 428
1 3857 6 428 6 429
1 3886 6 431 6 432
1 3900 6 433 6 434
1 3919 6 435 6 436
1 3861 6 429 6 430
1 3899 6 433 6 434
1 3927 6 436 6 437
1 3951 6 438 6 439
1 4022 6 446 6 447
1 4024 6 446 6 447
1 4025 6 446 6 447
1 4026 6 446 6 447
1 4034 6 447 6 448
1 4038 6 447 6 448
1 4040 6 448 6 449
1 4061 6 450 6 451
1 4072 6 451 6 452
1 4077 6 451 6 452
1 4080 6 452 6 453
1 4081 6 452 6 453
1 4082 6 452 6 453
0 4095 6 453 6 454
2104 2088 406 243 407 243
